time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.128,0.30787608,0.021840604,-0.08215926,-0.062784475,-4.85E-06,-1.45E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.556930908,-1.56981272,1.567096226,-1.573623871,-1.570796546,-6.53E-07
0.13,0.315206463,0.022360618,-0.084115433,-0.064279344,-4.97E-06,-1.49E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.556300495,-1.569767999,1.566927995,-1.573752429,-1.570796556,-6.83E-07
0.132,0.322536846,0.022880633,-0.086071605,-0.065774212,-5.09E-06,-1.52E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.555655421,-1.569722237,1.566755852,-1.573883978,-1.570796566,-7.14E-07
0.134,0.329867229,0.023400647,-0.088027778,-0.067269081,-5.20E-06,-1.55E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.554995687,-1.569675436,1.566579796,-1.574018516,-1.570796576,-7.45E-07
0.136,0.337197611,0.023920662,-0.089983951,-0.068763949,-5.32E-06,-1.59E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.554321292,-1.569627595,1.566399829,-1.574156044,-1.570796587,-7.76E-07
0.138,0.344527994,0.024440676,-0.091940124,-0.070258817,-5.43E-06,-1.62E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.553632236,-1.569578713,1.566215948,-1.574296561,-1.570796598,-8.09E-07
0.14,0.351858377,0.02496069,-0.093896297,-0.071753686,-5.55E-06,-1.66E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.552928519,-1.569528792,1.566028156,-1.574440069,-1.570796609,-8.42E-07
0.142,0.35918876,0.025480705,-0.09585247,-0.073248554,-5.66E-06,-1.69E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.552210141,-1.569477831,1.565836451,-1.574586566,-1.57079662,-8.76E-07
0.144,0.366519143,0.026000719,-0.097808643,-0.074743423,-5.78E-06,-1.73E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.551477103,-1.569425829,1.565640833,-1.574736053,-1.570796632,-9.11E-07
0.146,0.373849526,0.026520733,-0.099764815,-0.076238291,-5.89E-06,-1.76E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.550729404,-1.569372788,1.565441304,-1.574888529,-1.570796643,-9.46E-07
0.148,0.381179909,0.027040748,-0.101720988,-0.07773316,-6.01E-06,-1.80E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.549967044,-1.569318706,1.565237862,-1.575043996,-1.570796655,-9.82E-07
0.15,0.388510291,0.027560762,-0.103677161,-0.079228028,-6.13E-06,-1.83E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.549190024,-1.569263585,1.565030508,-1.575202452,-1.570796668,-1.02E-06
0.152,0.395840674,0.028080777,-0.105633334,-0.080722897,-6.24E-06,-1.87E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.548398342,-1.569207423,1.564819241,-1.575363898,-1.57079668,-1.06E-06
0.154,0.403171057,0.028600791,-0.107589507,-0.082217765,-6.36E-06,-1.90E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.547592,-1.569150221,1.564604062,-1.575528333,-1.570796693,-1.09E-06
0.156,0.41050144,0.029120805,-0.10954568,-0.083712634,-6.47E-06,-1.93E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.546770997,-1.56909198,1.56438497,-1.575695758,-1.570796706,-1.13E-06
